Year,"AAF share, ReFuelEU Aviation as-is","AAF share, ReFuelEU Aviation extended",Air traffic volume [RPK] - high growth,Air traffic volume [RPK] - base growth,Air traffic volume [RPK] - low growth,Air traffic volume [RPK] - degrowth
2024,0.05,0.05,1611435600000.0,1526623200000.0002,1455946200000.0,1342863000000.0002
2025,2.0,2.0,1667977200000.0,1569029400000.0002,1470081600000.0,1300456799999.9998
2026,2.8,2.8,1724518800000.0,1611435599999.9998,1484216999999.9995,1272185999999.9998
2027,3.5999999999999996,3.5999999999999996,1781060399999.9998,1639706400000.0,1498352400000.0,1229779800000.0
2028,4.3999999999999995,4.3999999999999995,1851737400000.0,1682112600000.0002,1512487800000.0,1187373599999.9998
2029,5.2,5.2,1894143600000.0,1696248000000.0,1512487800000.0,1159102800000.0
2030,6.0,6.0,1928238184800.0002,1716602976000.0,1521562726800.0,1116696600000.0
2031,8.799999999999999,8.799999999999999,1962946472126.4,1737202211712.0,1530692103160.8,1088425799999.9999
2032,11.6,11.6,1998279508624.6753,1758048638252.5442,1539876255779.7651,1060155000000.0
2033,14.399999999999999,14.399999999999999,2034248539779.9194,1779145221911.5747,1549115513314.4436,1017748800000.0
2034,17.2,17.2,2070865013495.958,1800494964574.5137,1558410206394.33,989477999999.9999
2035,20.0,20.0,2108140583738.8857,1822100904149.4077,1567760667632.696,989477999999.9999
2036,22.8,22.8,2146087114246.1855,1843966114999.2007,1577167231638.4922,989477999999.9999
2037,25.6,25.6,2184716682302.617,1866093708379.1912,1586630235028.3232,989478000000.0
2038,28.400000000000002,28.400000000000002,2224041582584.064,1888486832879.7417,1596150016438.4932,989478000000.0
2039,31.200000000000006,31.200000000000006,2264074331070.577,1911148674874.2983,1605726916537.1245,989477999999.9999
2040,34.0,34.0,2304827669029.847,1934082458972.7903,1615361278036.347,989478000000.0
2041,35.6,35.6,2346314567072.385,1957291448480.4634,1625053445704.5654,989478000000.0
2042,37.2,37.2,2388548229279.6875,1980778945862.229,1634803766378.7925,989478000000.0
2043,38.800000000000004,38.800000000000004,2431542097406.7217,2004548293212.576,1644612588977.0652,989477999999.9999
2044,40.400000000000006,40.400000000000006,2475309855160.043,2028602872731.127,1654480264510.9275,989478000000.0
2045,42.0,42.0,2519865432552.924,2052946107203.9004,1664407146097.9932,989477999999.9999
2046,47.599999999999994,47.599999999999994,2565223010338.877,2077581460490.3472,1674393588974.5813,989478000000.0
2047,53.2,53.2,2611397024524.977,2102512438016.2314,1684439950508.4285,989478000000.0
2048,58.8,58.8,2658402170966.4263,2127742587272.4263,1694546590211.4792,989477999999.9998
2049,64.39999999999999,64.39999999999999,2706253410043.8223,2153275498319.6958,1704713869752.7483,989478000000.0
2050,70.0,70.0,2754965971424.611,2179114804299.5315,1714942152971.2646,989478000000.0
2051,70.0,73.0,2804555358910.2544,2205264181951.126,1725231805889.092,989478000000.0
2052,70.0,76.0,2855037355370.6387,2231727352134.539,1735583196724.427,989478000000.0
2053,70.0,79.0,2906428027767.31,2258508080360.1543,1745996695904.7734,989478000000.0
2054,70.0,82.0,2958743732267.1216,2285610177324.4756,1756472676080.202,989478000000.0
2055,70.0,85.00000000000001,3012001119447.93,2313037499452.369,1767011512136.6836,989478000000.0
2056,70.0,88.00000000000001,3066217139597.9927,2340793949445.798,1777613581209.5032,989478000000.0
2057,70.0,91.00000000000001,3121409048110.757,2368883476839.1475,1788279262696.7603,989478000000.0002
2058,70.0,94.0,3177594410976.75,2397310078561.218,1799008938272.941,989478000000.0
2059,70.0,97.0,3234791110374.3315,2426077799503.952,1809802991902.5786,989478000000.0
2060,70.0,100.0,3293017350361.07,2455190733097.9995,1820661809853.994,989478000000.0
2061,70.0,100.0,3352291662667.569,2484653021895.176,1831585780713.1182,989478000000.0
2062,70.0,100.0,3412632912595.5854,2514468858157.918,1842575295397.397,989478000000.0
2063,70.0,100.0,3474060305022.306,2544642484455.8135,1853630747169.781,989478000000.0001
2064,70.0,100.0,3536593390512.7075,2575178194269.2827,1864752531652.7998,989478000000.0
2065,70.0,100.0,3600252071541.9365,2606080332600.513,1875941046842.7166,989478000000.0
2066,70.0,100.0,3665056608829.692,2637353296591.72,1887196693123.7727,989478000000.0001
2067,70.0,100.0,3731027627788.625,2669001536150.821,1898519873282.5154,989478000000.0
2068,70.0,100.0,3798186125088.8213,2701029554584.631,1909910992522.2102,989477999999.9999
2069,70.0,100.0,3866553475340.4204,2733441909239.6465,1921370458477.3445,989478000000.0
2070,70.0,100.0,3936151437896.548,2766243212150.5215,1932898681228.2085,989478000000.0
