Year,"AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2024,0.0008730277567749664,0.0008730277567749664,0.0008730277567749664,0.0007275231306458054,0.0007275231306458054,0.0007275231306458054,0.0007887882363843997,0.0007887882363843997,0.0007887882363843997,1.745182485793158,1.745182485793158,1.745182485793158,1.4543187381609648,1.4543187381609648,1.4543187381609648,1.5767876845324151,1.5767876845324151,1.5767876845324151,0.0014019952746049187,0.0014019952746049187,0.002028043478988247,0.001168329395504099,0.001168329395504099,0.0016900362324902057,0.0012667150288097077,0.0012667150288097077,0.0018323550731209602
2025,0.03571247009778892,0.03571247009778892,0.000892811752444723,0.02804220864366425,0.02804220864366425,0.0007010552160916062,0.03155736301290675,0.03155736301290675,0.0007889340753226688,1.7499110347916569,1.7499110347916569,1.7847306931370013,1.3740682235395483,1.3740682235395483,1.4014093769671212,1.5463107876324307,1.5463107876324307,1.577079216570015,0.05735065573003923,0.05735065573003923,0.0020740017009290915,0.04503298286086042,0.04503298286086042,0.0016285512669808016,0.05067796926242696,0.05067796926242696,0.0018326938569745593
2026,0.05110536189441085,0.05110536189441085,0.0009125957481144795,0.0381566977828775,0.0381566977828775,0.0006813696032656695,0.04418847519861251,0.04418847519861251,0.0007890799142609379,1.7740861343345484,1.7740861343345484,1.8242789004808446,1.3245825087484617,1.3245825087484617,1.3620578369280738,1.5339713533232633,1.5339713533232633,1.5773707486076147,0.0820701006662344,0.0820701006662344,0.002119959922869936,0.06127584096952298,0.06127584096952298,0.0015828215883861504,0.07096227232145184,0.07096227232145184,0.0018330326408281584
2027,0.067131341552465,0.067131341552465,0.0009323797437842362,0.047152921587225886,0.047152921587225886,0.0006549016887114706,0.0568242542303429,0.0568242542303429,0.000789225753199207,1.7976281460160073,1.7976281460160073,1.8638271078246882,1.2626504558357152,1.2626504558357152,1.3091484757342298,1.5216272521680707,1.5216272521680707,1.5776622806452147,0.10780622139910355,0.10780622139910355,0.0021659181448107807,0.07572287677692606,0.07572287677692606,0.0015213366228767461,0.09125406986850768,0.09125406986850768,0.0018333714246817573
2028,0.08438725162403846,0.08438725162403846,0.0009589460411822552,0.055302172125839884,0.055302172125839884,0.0006284337741572713,0.06946470010809788,0.06946470010809788,0.0007893715921374761,1.8335048307404722,1.8335048307404722,1.9169331363233282,1.2015653761887028,1.2015653761887028,1.2562391145403855,1.509278484166854,1.509278484166854,1.5779538126828148,0.13551748738304337,0.13551748738304337,0.002227631653666379,0.08880975821688628,0.08880975821688628,0.0014598516573673416,0.1115533619035944,0.1115533619035944,0.0018337102085353562
2029,0.10108256445286994,0.10108256445286994,0.0009719477351237494,0.06330980877845883,0.06330980877845883,0.0006087481613313349,0.08140445345213819,0.08140445345213819,0.0007827351293474827,1.8428129057946288,1.8428129057946288,1.9429235225123753,1.154186513884211,1.154186513884211,1.2168875745013386,1.484065805242827,1.484065805242827,1.564687523565618,0.16232849025486384,0.16232849025486384,0.0022578345886924704,0.10166922191732704,0.10166922191732704,0.001414121978772691,0.13072741179878872,0.13072741179878872,0.0018182937054742022
2030,0.11771537227788298,0.11771537227788298,0.000980961435649025,0.06987362961325629,0.06987362961325629,0.0005822802467771359,0.09365434851204406,0.09365434851204406,0.0007804529042670338,1.8442074990201667,1.8442074990201667,1.9609419098624008,1.0946868639410152,1.0946868639410152,1.1639782133074947,1.4672514600220234,1.4672514600220234,1.5601253556298007,0.18903911634105228,0.18903911634105228,0.002278773415012685,0.11221006179592827,0.11221006179592827,0.0013526370132632866,0.15039951827549156,0.15039951827549156,0.001812992096612319
2031,0.1742874489991597,0.1742874489991597,0.0009902695965861349,0.09901665557541107,0.09901665557541107,0.0005625946339511993,0.1369626376118602,0.1369626376118602,0.0007781968046128422,1.8062517441731099,1.8062517441731099,1.9795489235756836,1.0261726123269876,1.0261726123269876,1.1246266732684476,1.4194309716138243,1.4194309716138243,1.5556154124210715,0.27988821434775063,0.27988821434775063,0.0023003962728695916,0.15901084718855268,0.15901084718855268,0.0013069073346686359,0.21994829974088628,0.21994829974088628,0.001807751177115632
2032,0.2319715842276181,0.2319715842276181,0.000999877518222492,0.12595489290106093,0.12595489290106093,0.0005429090211252627,0.180024341015892,0.180024341015892,0.0007759669871374655,1.7677834522173657,1.7677834522173657,1.9987551589267618,0.9598631493494644,0.9598631493494644,1.0852751332294004,1.371909633259039,1.371909633259039,1.5511580072877937,0.372523167111132,0.372523167111132,0.002322715474830849,0.20227096250981377,0.20227096250981377,0.0012611776560739853,0.289101089237421,0.289101089237421,0.0018025713111203317
2033,0.2908196917201966,0.2908196917201966,0.001009790596250683,0.14873503869246626,0.14873503869246626,0.0005164411065710635,0.22284391954578517,0.22284391954578517,0.0007737636095339764,1.7287615007811687,1.7287615007811687,2.0185714019051146,0.8841471744496606,0.8841471744496606,1.0323657720355561,1.3246832995221676,1.3246832995221676,1.5467534554584188,0.4670273429334638,0.4670273429334638,0.0023457435550903365,0.2388535986362316,0.2388535986362316,0.0011996926905645806,0.35786505039857647,0.35786505039857647,0.0017974528649474263
