Year,Target CO2 emissions [kg],Target CO2 RF [mW/m^2],"CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2024,127500000000.0,0.21619665462568724,0.25196036763550184,0.25196036763550184,0.2521736146582313,0.20996697302958484,0.20996697302958484,0.21014467888185936,0.2276484023373394,0.2276484023373394,0.22784107289296335,148591322697.13477,148591322697.13477,148717083178.6976,123826102247.61229,123826102247.61229,123930902648.91466,134253563489.5165,134253563489.5165,134367189187.77063,8.692604823747002,8.692604823747002,8.692866987179258,7.243837353122505,7.243837353122505,7.244055822649385,7.853844709174925,7.853844709174925,7.8540815761356475
2025,127500000000.0,0.4189780981734476,0.5054228897474973,0.5054228897474973,0.4944312374542463,0.4070530132581465,0.4070530132581465,0.3984361613571387,0.450820838516505,0.450820838516505,0.4411104339825624,158697439546.4736,158697439546.4736,152097256200.19278,123913219074.23863,123913219074.23863,118733212029.36592,139944466566.34137,139944466566.34137,134111269177.7082,9.27540502931701,9.27540502931701,9.315942407591056,7.260292247133296,7.260292247133296,7.2918875589334275,8.186746151647915,8.186746151647915,8.22246608386464
2026,127500000000.0,0.6108717803746633,0.7462976128808423,0.7462976128808423,0.728975834946129,0.5840453134230784,0.5840453134230784,0.571027310207415,0.6577286805844202,0.6577286805844202,0.6427022972710614,159384120757.545,159384120757.545,155247772656.00748,118304463842.34225,118304463842.34225,115392778461.07591,137466767154.59433,137466767154.59433,133975483996.56065,9.8339666967151,9.8339666967151,9.891815725224589,7.3157768790521205,7.3157768790521205,7.3582349748012215,8.49168803352033,8.49168803352033,8.54136484167585
2027,127500000000.0,0.7938704043576936,0.9807391440563153,0.9807391440563153,0.9578554433883699,0.744180092957846,0.744180092957846,0.7277877287326426,0.8542439215524351,0.8542439215524351,0.8347258204254846,162255309742.12897,162255309742.12897,158391338270.78482,113113876495.0583,113113876495.0583,110686649402.14044,136994322087.27583,136994322087.27583,133839647576.8618,10.371961184514895,10.371961184514895,10.450244900971226,7.270935339889672,7.270935339889672,7.324360430779763,8.773194461082548,8.773194461082548,8.838769639171536
2028,127500000000.0,0.9695468097827686,1.2118654011356096,1.2118654011356096,1.1847985732719843,0.8892028163830411,0.8892028163830411,0.8708028342424037,1.0414476787923446,1.0414476787923446,1.0188460708772182,165961237661.70392,165961237661.70392,162778910664.6132,107794506145.97241,107794506145.97241,106103712747.82668,136129952203.27176,136129952203.27176,133703760008.80225,10.969996495546216,10.969996495546216,11.073681972617988,7.204191235343747,7.204191235343747,7.269507393746659,9.038301911001943,9.038301911001943,9.12243431727336
2029,127500000000.0,1.139144124987862,1.4352204311950345,1.4352204311950345,1.4065172719876582,1.0225457458011467,1.0225457458011467,1.0036798652025434,1.2178457448850089,1.2178457448850089,1.1942687645315877,166301448767.62903,166301448767.62903,164554195243.0938,103568953449.38416,103568953449.38416,102774754589.3979,133545754425.49458,133545754425.49458,132323110244.49533,11.412436942215331,11.412436942215331,11.54479059993269,7.192190634540448,7.192190634540448,7.271737549883193,9.216259928761728,9.216259928761728,9.321197727633951
2030,127500000000.0,1.303646513422391,1.6505035768805199,1.6505035768805199,1.6232999259499852,1.1424408497092304,1.1424408497092304,1.12519919011523,1.385868157244036,1.385868157244036,1.3637007885762897,165676153855.9477,165676153855.9477,165810102496.50198,97625174786.50494,97625174786.50494,98106952708.03487,131622914506.83131,131622914506.83131,131846789794.38754,11.798799979607198,11.798799979607198,11.96467694473214,7.0925566231203465,7.0925566231203465,7.186950981733655,9.426243123538136,9.426243123538136,9.556360734447159
2031,127500000000.0,1.463834692923589,1.8670351654009232,1.8670351654009232,1.836433189233075,1.2572244067455705,1.2572244067455705,1.2386879455430833,1.5525653764783325,1.5525653764783325,1.5279712757003758,169863075198.91266,169863075198.91266,167248126538.0324,95949712212.2871,95949712212.2871,94822388954.29843,133283851295.12187,133283851295.12187,131364993949.79578,12.102699169177148,12.102699169177148,12.380688580102342,7.009798350922905,7.009798350922905,7.1623651808157405,9.567816491357755,9.567816491357755,9.78386883626997
2032,127500000000.0,1.6203295065999408,2.075837622874733,2.075837622874733,2.0467538957099785,1.3614389538520317,1.3614389538520317,1.3446315057440117,1.7108206521575562,1.7108206521575562,1.687756911767821,168509736937.12836,168509736937.12836,168734243336.64474,90798405238.17416,90798405238.17416,91444001936.87943,130511312705.94945,130511312705.94945,130888120660.45662,12.384649674230165,12.384649674230165,12.794319729761135,6.911443698712019,6.911443698712019,7.127570350224598,9.689435688012727,9.689435688012727,10.004559882511744
2033,127500000000.0,1.773626118053106,2.27662894484428,2.27662894484428,2.2549389759146594,1.4530346971860921,1.4530346971860921,1.4414824736278562,1.860544624624445,1.860544624624445,1.8435996036714029,166454249579.945,166454249579.945,170269251668.03226,84014334804.75812,84014334804.75812,86839979486.78128,127223381918.63333,127223381918.63333,130416187130.25726,12.643729481268325,12.643729481268325,13.206629534120795,6.727554821945992,6.727554821945992,7.008766389416336,9.790797767432672,9.790797767432672,10.219180409170468
