Year,Target CO2 emissions [kg],Target CO2 dT [K],"CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2024,127500000000.0,5.7375e-05,138928750079.26242,138928750079.26242,139046332628.47028,138928750079.26242,138928750079.26242,139046332628.47028,138928750079.26242,138928750079.26242,139046332628.47028,0.0079069624836133,0.0079069624836133,0.007907017353698266,0.0079069624836133,0.0079069624836133,0.007907017353698266,0.0079069624836133,0.0079069624836133,0.007907017353698266,6.251793753566812e-05,6.251793753566812e-05,6.257084968281162e-05,6.251793753566812e-05,6.251793753566812e-05,6.257084968281162e-05,6.251793753566812e-05,6.251793753566812e-05,6.257084968281162e-05
2025,127500000000.0,0.00011475,155276337714.1438,155276337714.1438,148844396950.3492,139078901374.60803,139078901374.60803,133265074319.32904,145032050245.97214,145032050245.97214,138987616958.5986,0.008406492368081987,0.008406492368081987,0.008434620595926028,0.007556824783096399,0.007556824783096399,0.007582003003718084,0.007869108623486942,0.007869108623486942,0.00789536951747173,0.00013239228950703282,0.00013239228950703282,0.00012955082831046878,0.00012510344315424173,0.00012510344315424173,0.00012254013312650968,0.00012778236014635559,0.00012778236014635559,0.00012511527731418097
2026,127500000000.0,0.000172125,158163633460.6631,158163633460.6631,153994891712.05713,131346436721.4315,131346436721.4315,128149093379.78491,143454526804.4126,143454526804.4126,139787981282.92014,0.008709414907534508,0.008709414907534508,0.008751034246601242,0.007224753937197831,0.007224753937197831,0.0072589841244624954,0.007887536973114046,0.007887536973114046,0.007925069383136285,0.0002035659245643312,0.0002035659245643312,0.00019884852958089447,0.0001842093396788859,0.0001842093396788859,0.0001802072251474129,0.00019233689720834127,0.00019233689720834127,0.00018801986889149504
2027,127500000000.0,0.0002295,161879598896.49933,161879598896.49933,157985749530.47507,125741660859.9202,125741660859.9202,123043443590.64842,142267895914.48047,142267895914.48047,139011455572.73483,0.008925783244704475,0.008925783244704475,0.008982100270588067,0.00689497752765444,0.00689497752765444,0.00693796549465869,0.007822320905324056,0.007822320905324056,0.00787139958322225,0.0002764117440677559,0.0002764117440677559,0.00026994211686960824,0.00024079308706584997,0.00024079308706584997,0.00023557677476320466,0.0002563574503698575,0.0002563574503698575,0.00025057502389922565
2028,127500000000.0,0.00028687499999999997,166065639237.65384,166065639237.65384,162854606663.15475,119827685520.9256,119827685520.9256,117948124951.91954,141656065257.21405,141656065257.21405,139121667121.6655,0.009179672945588765,0.009179672945588765,0.009252810333632214,0.006567382429416497,0.006567382429416497,0.006618951893033855,0.007797622120037908,0.007797622120037908,0.007859355833971083,0.0003511412817247001,0.0003511412817247001,0.0003432266898680279,0.0002947155455502665,0.0002947155455502665,0.0002886534309915685,0.0003201026797356038,0.0003201026797356038,0.00031317977410397517
2029,127500000000.0,0.00034424999999999994,168008717974.4058,168008717974.4058,166154396692.78452,113650502953.645,113650502953.645,112863137463.59831,139744192085.50415,139744192085.50415,138420237154.16257,0.009347121075799634,0.009347121075799634,0.009438450733137465,0.006241877168089463,0.006241877168089463,0.006301948098315177,0.007730639707791918,0.007730639707791918,0.007805704881715793,0.0004267452048131827,0.0004267452048131827,0.00041799616837978094,0.00034585827187940673,0.00034585827187940673,0.0003394418428501877,0.0003829875661740807,0.0003829875661740807,0.00037546888082334835
2030,127500000000.0,0.0004016249999999999,170387596978.20898,170387596978.20898,170318221722.64722,107255523089.01357,107255523089.01357,107788481125.68472,136750045781.49844,136750045781.49844,137041064664.51685,0.00955176534778704,0.00955176534778704,0.009664006632534581,0.00591839158809805,0.00591839158809805,0.005986958889229846,0.0076216869962834905,0.0076216869962834905,0.007710730832082358,0.0005034196234533768,0.0005034196234533768,0.0004946393681549722,0.00039412325726946286,0.00039412325726946286,0.0003879466593567458,0.00044452508677575496,0.00044452508677575496,0.0004371373599223809
2031,127500000000.0,0.0004589999999999999,176631949325.10257,176631949325.10257,173746338526.27933,103867654886.29466,103867654886.29466,102762925578.42732,138509058792.9882,138509058792.9882,136521407038.07387,0.009663436065291062,0.009663436065291062,0.009846279647256862,0.005569392021696521,0.005569392021696521,0.005674006824922882,0.007515889499820351,0.007515889499820351,0.0076576888326022816,0.0005829040006496729,0.0005829040006496729,0.0005728252204917979,0.0004408637019682955,0.0004408637019682955,0.00043418997586703814,0.0005068541632325997,0.0005068541632325997,0.0004985719930895141
2032,127500000000.0,0.0005163749999999999,175853305348.5252,175853305348.5252,175990197507.12436,96875473966.32753,96875473966.32753,97744181167.18652,135802177348.28761,135802177348.28761,136176862082.61797,0.009694822822508001,0.009694822822508001,0.009957515657724434,0.00522163210851034,0.00522163210851034,0.005363095069842947,0.007417030732380332,0.007417030732380332,0.007617929299703111,0.0006620379880565092,0.0006620379880565092,0.0006520208093700039,0.00048445766525314287,0.00048445766525314287,0.0004781748573922721,0.0005679651430393291,0.0005679651430393291,0.0005598515810266922
2033,127500000000.0,0.0005737499999999998,174548797931.79565,174548797931.79565,178414588277.4025,89685315541.43695,89685315541.43695,92732247891.96245,132519179099.3446,132519179099.3446,135821285832.87721,0.009719157953660082,0.009719157953660082,0.01007255122816676,0.004875504039262931,0.004875504039262931,0.005054226788438714,0.007312209327236918,0.007312209327236918,0.007578640074915354,0.0007405849471258173,0.0007405849471258173,0.0007323073740948349,0.0005248160572467896,0.0005248160572467896,0.0005199043689436551,0.0006275987736340343,0.0006275987736340343,0.000620971159651487
