Year,Target CO2 emissions [kg],Target CO2 RF [mW m-2],"CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2024,127500000000.0,0.21619665462568724,0.2355759293997233,0.2355759293997233,0.23577530942937894,0.2355759293997233,0.2355759293997233,0.23577530942937894,0.2355759293997233,0.2355759293997233,0.23577530942937894,138928750079.26242,138928750079.26242,139046332628.47028,138928750079.26242,138928750079.26242,139046332628.47028,138928750079.26242,138928750079.26242,139046332628.47028,8.127343516267292,8.127343516267292,8.127588631778067,8.127343516267292,8.127343516267292,8.127588631778067,8.127343516267292,8.127343516267292,8.127588631778067
2025,127500000000.0,0.4189780981734476,0.4842540960602759,0.4842540960602759,0.47353471945777725,0.45678875056913737,0.45678875056913737,0.4471174846800453,0.46688326720033424,0.46688326720033424,0.45682097153936235,155276337714.1438,155276337714.1438,148844396950.3492,139078901374.60803,139078901374.60803,133265074319.32904,145032050245.97214,145032050245.97214,138987616958.5986,9.060615713000312,9.060615713000312,9.1003338011495,8.148755811012157,8.148755811012157,8.184218404465154,8.483897597191794,8.483897597191794,8.520917839494912
2026,127500000000.0,0.6108717803746633,0.724244374623094,0.724244374623094,0.7071229400771105,0.6530104315316055,0.6530104315316055,0.6385192328756832,0.6830097781326794,0.6830097781326794,0.6673562060943177,158163633460.6631,158163633460.6631,153994891712.05713,131346436721.4315,131346436721.4315,128149093379.78491,143454526804.4126,143454526804.4126,139787981282.92014,9.762089259358756,9.762089259358756,9.819839822652,8.131125504197538,8.131125504197538,8.17823011944895,8.856153540490732,8.856153540490732,8.908027816837008
2027,127500000000.0,0.7938704043576936,0.9591434975871155,0.9591434975871155,0.9363990895222833,0.8308366985543489,0.8308366985543489,0.8125949206561857,0.8870765760100745,0.8870765760100745,0.8667949288165087,161879598896.49933,161879598896.49933,157985749530.47507,125741660859.9202,125741660859.9202,123043443590.64842,142267895914.48047,142267895914.48047,139011455572.73483,10.358914595644842,10.358914595644842,10.437591068379556,8.081147844025521,8.081147844025521,8.140434247361968,9.117543699962741,9.117543699962741,9.185703747092935
2028,127500000000.0,0.9695468097827686,1.1913841252913544,1.1913841252913544,1.1644025572135828,0.9918958637777513,0.9918958637777513,0.9714227739052038,1.0819611227419166,1.0819611227419166,1.0584526718590919,166065639237.65384,166065639237.65384,162854606663.15475,119827685520.9256,119827685520.9256,117948124951.91954,141656065257.21405,141656065257.21405,139121667121.6655,10.987483129644092,10.987483129644092,11.091958450024366,8.007156754961137,8.007156754961137,8.079653644218327,9.404632030381569,9.404632030381569,9.492221366544674
2029,127500000000.0,1.139144124987862,1.418397523848675,1.418397523848675,1.389596633467717,1.1374883259437636,1.1374883259437636,1.1166596465428988,1.266905034703418,1.266905034703418,1.2422936677949492,168008717974.4058,168008717974.4058,166154396692.78452,113650502953.645,113650502953.645,112863137463.59831,139744192085.50415,139744192085.50415,138420237154.16257,11.519764405549767,11.519764405549767,11.654327284931076,7.912633626631125,7.912633626631125,7.99973763011603,9.633873017002546,9.633873017002546,9.743767148502144
2030,127500000000.0,1.303646513422391,1.6421266624474704,1.6421266624474704,1.6144904787197967,1.2686683482626748,1.2686683482626748,1.2496310945630094,1.4413560606718492,1.4413560606718492,1.4183151362790656,170387596978.20898,170387596978.20898,170318221722.64722,107255523089.01357,107255523089.01357,107788481125.68472,136750045781.49844,136750045781.49844,137041064664.51685,12.085053710284702,12.085053710284702,12.256637646534823,7.799546775290476,7.799546775290476,7.902913386515099,9.805142897219826,9.805142897219826,9.940501696241922
2031,127500000000.0,1.463834692923589,1.870030588612248,1.870030588612248,1.8385664815629088,1.391700277695653,1.391700277695653,1.3714678125894648,1.6145093084228728,1.6145093084228728,1.5889566435028866,176631949325.10257,176631949325.10257,173746338526.27933,103867654886.29466,103867654886.29466,102762925578.42732,138509058792.9882,138509058792.9882,136521407038.07387,12.52243766404229,12.52243766404229,12.812984874686444,7.625978291412926,7.625978291412926,7.790831207265419,9.9469029849296,9.9469029849296,10.171506102936043
2032,127500000000.0,1.6203295065999408,2.090507950455006,2.090507950455006,2.060465750703263,1.5010957010449273,1.5010957010449273,1.4830195966321824,1.7792003983748619,1.7792003983748619,1.755208168994752,175853305348.5252,175853305348.5252,175990197507.12436,96875473966.32753,96875473966.32753,97744181167.18652,135802177348.28761,135802177348.28761,136176862082.61797,12.862865532403253,12.862865532403253,13.29237046978738,7.434415184969965,7.434415184969965,7.664716364915607,10.08125072775016,10.08125072775016,10.409172138935817
2033,127500000000.0,1.773626118053106,2.3036402492130392,2.3036402492130392,2.281129582808577,1.597403314700226,1.597403314700226,1.5849758304549417,1.9352462151642327,1.9352462151642327,1.9175864512242566,174548797931.79565,174548797931.79565,178414588277.4025,89685315541.43695,89685315541.43695,92732247891.96245,132519179099.3446,132519179099.3446,135821285832.87721,13.180692280009062,13.180692280009062,13.772847279740079,7.226286756607434,7.226286756607434,7.525576806261463,10.19480137009178,10.19480137009178,10.641009642046042
2034,127500000000.0,1.924120849671762,2.508959253779358,2.508959253779358,2.501173902013754,1.6811351321042167,1.6811351321042167,1.6778994497173998,2.0824418652642995,2.0824418652642995,2.076533341575474,172477392952.59842,172477392952.59842,180916855071.49762,82360311004.57425,82360311004.57425,87727125752.75502,128702784744.63197,128702784744.63197,135472352742.8946,13.475145617505573,13.475145617505573,14.255713882851213,7.00314036561876,7.00314036561876,7.374260456788276,10.287256778925641,10.287256778925641,10.86759011015641
2035,127500000000.0,2.072132248028617,2.700263982028855,2.6971693317485754,2.7163004531202635,1.7523440821549972,1.7517609154195104,1.7618706227153877,2.2179259480224798,2.215833013180307,2.2301812178143163,166307891163.70453,164482849460.72916,180662933456.3919,74700225662.0245,74356308412.68817,82502952288.9571,122831889232.0321,121597600048.23788,133817825270.07672,13.729683445568268,13.651578440194491,14.727291794657816,6.765356714230859,6.758224587094226,7.2103136149659806,10.351300189768038,10.314071466740238,11.08270445868288
2036,119000000000.0,2.2035045090085554,2.8820499099430457,2.8752909021832735,2.9273346627832053,1.8202563170578525,1.8181422884993594,1.8433806860260815,2.344780674477021,2.3406444526971146,2.3790538813280993,162179627966.1542,159905361053.19913,180549052538.7903,72157962690.34282,71233810532.33446,80873136277.61452,118352420369.96431,117070821748.68773,132225797735.26086,13.95735165511822,13.812208685624375,15.196426767611808,6.738416538012337,6.7124488382039456,7.279707208738036,10.394671480660975,10.329212114956617,11.290639008840873
2037,110500000000.0,2.319341026598197,3.0546471339419634,3.043741950108156,3.1348375452755426,1.8829127736620543,1.8796221554704606,1.9219149743290125,2.4632925190377106,2.457186987137759,2.5234959743304977,157878018491.72757,155199818684.99927,180496041043.69586,68509143323.38742,67740595985.27286,78968000132.73598,113779798330.26895,112476731902.71085,130640333467.42932,14.15939585421325,13.957491464913723,15.664754556313213,6.701918179720014,6.664513825902934,7.3459599484745866,10.41857672641569,10.332793461947542,11.492262745494765
2038,102000000000.0,2.420538629902647,3.2192834738948806,3.203833498672793,3.3401001290234946,1.9413348691456767,1.9368967693611479,1.9982784671249576,2.574671757628658,2.5666945858192958,2.6645991829287925,153988732578.18225,150952677064.5418,180990157468.02234,65426101090.963326,64641004576.60402,77537604821.23024,109698233144.04227,108398269394.88458,129537840158.72856,14.33667953225254,14.086987184899945,16.13279126202706,6.655632493612599,6.611617647509048,7.40782404012273,10.42408260771056,10.324203642894323,11.687604675906993
2039,93500000000.0,2.5078312354018006,3.3770832269227675,3.3566846306742932,3.544574021017992,1.996619134053057,1.9910053592853814,2.0735831627559818,2.680109609936715,2.670300578793495,2.8036760649979318,150531235762.39844,147134184134.32986,182200285737.26425,62988228029.61918,62157793439.25481,76787112402.8966,106163805166.54726,104842663267.06691,129106463422.9387,14.50507828182066,14.21382954799715,16.618919154672106,6.6153634203559,6.567030392011167,7.4829774291048325,10.427466378592449,10.31731630432045,11.894781145222217
2040,85000000000.0,2.581824122623541,3.5274984854393843,3.501897959156577,3.7484631805768336,2.0481836049031266,2.041650220288746,2.1477121583764776,2.7791161944912415,2.767622794363711,2.9407902463718028,146584766282.37888,142914755249.98856,183460405964.65158,60239267722.486374,59533278650.165726,76024368983.92708,102242521549.14818,100970011154.70656,128667745605.75697,14.651497900262308,14.326945442374647,17.109099322360716,6.567860783540342,6.519118024714625,7.556703181673122,10.415901060625675,10.30074346042412,12.099415962358016
2041,76500000000.0,2.6430208516955362,3.6695637313086205,3.6384534045110257,3.9520139169498063,2.095622010697345,2.0904496612421837,2.220616479568122,2.8710923340055414,2.8583052348322915,3.0760480178533665,141898253487.9391,137927516708.31528,184810244990.55273,57251135171.37937,57875743487.574745,75273305730.2712,97858209867.42502,96787027433.8439,128251608038.15135,14.884292463953935,14.520641601696422,17.603668134236216,6.55530773824652,6.504156171081665,7.62878069579136,10.462333660320246,10.338295870017571,12.301531676158799
2042,68000000000.0,2.6918444066071032,3.808747726938999,3.7718277440297894,4.155409483043413,2.1411680785643705,2.1373035165797813,2.292247079102446,2.9599128297765507,2.9458774075682315,3.2095171768456616,140246376495.9079,135981060184.71529,186226840769.54364,55559961732.09302,56223412400.53825,74522774722.93187,95635028228.65466,94578432514.79132,127841052409.86737,15.109225226338157,14.71081634291259,18.103024159622294,6.539522504552598,6.486759185796669,7.699148498740461,10.501945613452378,10.371582191702762,12.501246931689916
