Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 1","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 0","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 1","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 0","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 1","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 0","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 1","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 0"
2024,0.0,0.0,0.0,0.0,1298.0490567528734,2203.6554274624837,0.0,0.0,0.0,0.0,1298.0490567528734,2203.6554274624837,0.0,0.0,0.0,0.0,1172.798709171456,1991.0220090231214,0.0,0.0,0.0,0.0,1172.798709171456,1991.0220090231214,0.0,0.0,0.0,0.0,1081.7075472940612,1836.379522885404,0.0,0.0,0.0,0.0,1081.7075472940612,1836.379522885404
2025,0.0,0.0,0.0,0.0,1571.5633917111386,2044.487041816331,0.0,0.0,0.0,0.0,1571.5633917111386,2044.487041816331,0.0,0.0,0.0,0.0,1341.4719335231937,1847.2119763779135,0.0,0.0,0.0,0.0,1341.4719335231937,1847.2119763779135,0.0,0.0,0.0,0.0,1119.5675360820333,1703.7392015136093,0.0,0.0,0.0,0.0,1119.5675360820333,1703.7392015136093
2026,0.0,0.0,0.0,0.0,1845.0777266694038,1885.3186561701782,0.0,0.0,0.0,0.0,1845.0777266694038,1885.3186561701782,0.0,0.0,0.0,0.0,1510.1451578749316,1703.4019437327051,0.0,0.0,0.0,0.0,1510.1451578749316,1703.4019437327051,0.0,0.0,0.0,0.0,1187.4383601874654,1571.0988801418157,0.0,0.0,0.0,0.0,1187.4383601874654,1571.0988801418157
2027,0.0,0.0,0.0,0.0,2118.592061627668,1726.1502705240262,0.0,0.0,0.0,0.0,2118.592061627668,1726.1502705240262,0.0,0.0,0.0,0.0,1678.8183822266694,1559.5919110874975,0.0,0.0,0.0,0.0,1678.8183822266694,1559.5919110874975,0.0,0.0,0.0,0.0,1225.2983489754379,1438.458558770022,0.0,0.0,0.0,0.0,1225.2983489754379,1438.458558770022
2028,0.0,0.0,0.0,0.0,2422.1172319033935,1566.9818848778734,0.0,0.0,0.0,0.0,2422.1172319033935,1566.9818848778734,0.0,0.0,0.0,0.0,1847.4916065784073,1415.7818784422893,0.0,0.0,0.0,0.0,1847.4916065784073,1415.7818784422893,0.0,0.0,0.0,0.0,1263.1583377634097,1305.8182373982281,0.0,0.0,0.0,0.0,1263.1583377634097,1305.8182373982281
2029,0.0,0.0,0.0,0.0,2665.6207315441984,1407.8134992317207,0.0,0.0,0.0,0.0,2665.6207315441984,1407.8134992317207,0.0,0.0,0.0,0.0,1986.1539956126849,1271.9718457970814,0.0,0.0,0.0,0.0,1986.1539956126849,1271.9718457970814,0.0,0.0,0.0,0.0,1331.029161868842,1173.177916026434,0.0,0.0,0.0,0.0,1331.029161868842,1173.177916026434
2030,0.0,0.0,0.0,0.0,2891.4778600183363,1248.6451135855682,0.0,0.0,0.0,0.0,2891.4778600183363,1248.6451135855682,0.0,0.0,0.0,0.0,2144.0833409207717,1128.161813151873,0.0,0.0,0.0,0.0,2144.0833409207717,1128.161813151873,0.0,0.0,0.0,0.0,1368.8891506568143,1040.5375946546403,0.0,0.0,0.0,0.0,1368.8891506568143,1040.5375946546403
2031,0.0,0.0,0.0,0.0,3118.637938918617,1089.4767279394157,0.0,0.0,0.0,0.0,3118.637938918617,1089.4767279394157,0.0,0.0,0.0,0.0,2302.128287966502,984.351780506665,0.0,0.0,0.0,0.0,2302.128287966502,984.351780506665,0.0,0.0,0.0,0.0,1436.7599747622467,907.8972732828465,0.0,0.0,0.0,0.0,1436.7599747622467,907.8972732828465
2032,0.0,0.0,0.0,0.0,3347.1244213527107,930.3083422932627,0.0,0.0,0.0,0.0,3347.1244213527107,930.3083422932627,0.0,0.0,0.0,0.0,2460.289530360301,840.5417478614568,0.0,0.0,0.0,0.0,2460.289530360301,840.5417478614568,0.0,0.0,0.0,0.0,1504.630798867679,775.2569519110526,0.0,0.0,0.0,0.0,1504.630798867679,775.2569519110526
2033,0.0,0.0,0.0,0.0,3576.9611825842276,771.1399566471104,0.0,0.0,0.0,0.0,3576.9611825842276,771.1399566471104,0.0,0.0,0.0,0.0,2618.567765874256,696.731715216249,0.0,0.0,0.0,0.0,2618.567765874256,696.731715216249,0.0,0.0,0.0,0.0,1542.4907876556513,642.6166305392587,0.0,0.0,0.0,0.0,1542.4907876556513,642.6166305392587
