Year,"Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2024,84.72791943822685,84.72791943822685,84.79994491541638,84.72791943822685,84.72791943822685,84.79994491541638,84.72791943822685,84.72791943822685,84.79994491541638,92.21052501082558,92.21052501082558,92.28856752246108,92.21052501082558,92.21052501082558,92.28856752246108,92.21052501082558,92.21052501082558,92.28856752246108,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775,1.0835403621155775
2025,88.27313555695204,88.27313555695204,84.5779258877465,88.26666699487825,88.26666699487825,84.57220798747394,88.26919796631479,88.26919796631479,84.57234931783464,95.05092311238444,95.05092311238444,91.11367216994954,95.2835366695892,95.2835366695892,91.30045945272055,95.19186813515218,95.19186813515218,91.2246009313338,1.0655013638999666,1.0655013638999666,1.0655013638999666,1.0781219141654914,1.0781219141654914,1.0781219141654914,1.0731483977439578,1.0731483977439578,1.073148397743958
2026,86.79329337083126,86.79329337083126,84.48770848658587,86.59515914510118,86.59515914510118,84.48443572981662,86.713032218647,86.713032218647,84.48501713465554,92.04897653081844,92.04897653081844,89.62282835133878,92.98095095878095,92.98095095878095,90.71753192839991,92.61291121263083,92.61291121263083,90.24582345037415,1.0522918483973778,1.0522918483973778,1.052291848397378,1.0723427873072993,1.0723427873072993,1.0723427873072995,1.0624199895523574,1.0624199895523574,1.0624199895523572
2027,86.49314505246406,86.49314505246406,84.39894687841158,86.24988912717427,86.24988912717427,84.3966634721593,86.38222912753218,86.38222912753218,84.39664682254164,90.63961098680683,90.63961098680683,88.45936718719548,92.0778768909636,92.0778768909636,90.10203120985831,91.34766574990509,91.34766574990509,89.25676377964541,1.0410876232368873,1.0410876232368873,1.0410876232368873,1.0661657287975201,1.0661657287975201,1.0661657287975204,1.0530422058075635,1.0530422058075635,1.0530422058075632
2028,85.98492519077212,85.98492519077212,84.31139536973066,85.65421623354032,85.65421623354032,84.30889121450195,85.85183975697124,85.85183975697124,84.30887687707917,89.17958958195281,89.17958958195281,87.45521981802888,90.87590968029176,90.87590968029176,89.45047301459063,89.976811432301,89.976811432301,88.36701757898052,1.030378868809673,1.030378868809673,1.030378868809673,1.0595481727679616,1.0595481727679616,1.0595481727679619,1.0433134032576952,1.0433134032576952,1.0433134032576952
2029,85.16796514716333,85.16796514716333,84.22277064482604,84.80947212510446,84.80947212510446,84.22111895684465,85.02990549064135,85.02990549064135,84.22110693161673,87.44084166021324,87.44084166021324,86.47575237479823,89.37806489326509,89.37806489326509,88.75885774472468,88.28776630916619,88.28776630916619,87.45131635129864,1.0210483482802393,1.0210483482802393,1.0210483482802393,1.0524412579808768,1.0524412579808768,1.0524412579808768,1.0341882394996877,1.0341882394996877,1.034188239499688
2030,84.16973756038246,84.16973756038246,84.13527541756721,83.71677833751535,83.71677833751535,84.13334669918733,83.95405041479806,83.95405041479806,84.13333698615432,85.66008170632084,85.66008170632084,85.62520422600413,87.5873456788326,87.5873456788326,88.02257156227255,86.39612068698702,86.39612068698702,86.57998097307149,1.012051992927361,1.012051992927361,1.0120519929273613,1.0447886193110585,1.0447886193110585,1.0447886193110585,1.0255106374872869,1.0255106374872869,1.025510637487287
2031,85.48034196859196,85.48034196859196,84.07697704214692,84.98058851934006,84.98058851934006,84.07548007622616,85.3042429128343,85.3042429128343,84.07547130506208,86.23077006387025,86.23077006387025,84.82203035263508,88.20735547204346,88.20735547204346,87.26918804286532,87.04196713618738,87.04196713618738,85.79288552205259,1.0038299266918016,1.0038299266918016,1.0038299266918018,1.0365248897143293,1.0365248897143293,1.0365248897143293,1.0165287073969838,1.0165287073969838,1.0165287073969838
2032,83.95287235655263,83.95287235655263,84.01850547963159,83.26982195897293,83.26982195897293,84.01761345326496,83.78553754257798,83.78553754257798,84.01760562396986,84.00258341661575,84.00258341661575,84.0679748231009,85.69075600378466,85.69075600378466,86.45916697242068,84.74767294760146,84.74767294760146,84.98149585047031,0.9963171553866845,0.9963171553866845,0.9963171553866846,1.027573828401891,1.027573828401891,1.027573828401891,1.0075616666731884,1.0075616666731884,1.0075616666731884
2033,82.13388422509115,82.13388422509115,83.96066352535725,81.1969540702236,81.1969540702236,83.95974683030377,81.91074709830009,81.91074709830009,83.95973994287763,81.58457834621389,81.58457834621389,83.39145916726908,82.77303808048714,82.77303808048714,85.58513553430265,82.12404176117464,82.12404176117464,84.17040480935798,0.989107343613963,0.989107343613963,0.989107343613963,1.0178459616833162,1.0178459616833162,1.0178459616833164,0.998716541933676,0.998716541933676,0.998716541933676
2034,79.97313018557762,79.97313018557762,83.90282808118985,78.76121875832523,78.76121875832523,83.9018802073426,79.69372296128152,79.69372296128152,83.90187426178542,78.88101573294068,78.88101573294068,82.74072936138938,79.4605260611411,79.4605260611411,84.63838318627324,79.20453552671395,79.20453552671395,83.37057194995664,0.9821909294244443,0.9821909294244443,0.9821909294244442,1.0072355817405325,1.0072355817405325,1.0072355817405325,0.9899920715169775,0.9899920715169775,0.9899920715169775
2035,77.15632055803886,76.34544515791765,83.8437474865491,75.90235120741742,75.45143191383099,83.84401358438144,76.93648009005791,75.99297413981346,83.8440085806932,74.42216091751318,73.60546156338387,80.84598879488358,75.49457962887958,75.14700520141749,83.38027959081163,75.06608543099846,74.31177596057884,81.77990558248631,0.9605828887615828,0.9599393554103709,0.9605828887615827,0.9929533122442594,0.9942212956016778,0.9929533122442595,0.9719569250550251,0.9739594447233186,0.9719569250550251
2036,75.24555311019833,74.27411475334934,83.80442510846575,74.72891803378265,73.33716810577944,83.80467532114814,74.98071317896219,73.84673151944023,83.80467061616336,71.01250346014442,70.01668549551559,79.05579991102427,72.925282512944,71.99130302273971,81.73313229562912,71.82577330369142,71.04799612135427,80.24525517386735,0.93976127374122,0.9384961366658441,0.9397612737412199,0.9704809751740143,0.9759615135297779,0.9704809751740143,0.9541616593343932,0.9581408718258008,0.9541616593343932
2037,73.2286356009369,72.11554353179956,83.7651027303824,72.61557036263046,71.0543616532272,83.76533705791486,72.9163471179819,71.6135672910454,83.7653326516335,67.6408871201027,66.49344549052917,77.33129953427795,69.2376620029828,68.46094201717759,79.80773714295415,68.57074305863794,67.78543464270052,78.73194425329494,0.9197022393866868,0.9178367822863226,0.9197022393866869,0.9480086381037691,0.9577017314578783,0.9480086381037692,0.9366038108483736,0.9425341516160839,0.9366038108483735
2038,71.18827479917978,69.95631552386617,83.72601235790029,70.58260241132032,68.6895023605994,83.72599879468157,70.85798654950345,69.41298883411122,83.7259946871037,64.55437436968113,63.28161459724015,75.87377457299526,66.12183503924626,65.32838989508004,78.36213116535205,65.65137979897497,64.87338719713618,77.52483972492745,0.9028263791852175,0.9003812574782987,0.9028263791852175,0.9312886691602228,0.9451943175126775,0.9312886691602228,0.9227115649125469,0.9305677293094514,0.9227115649125467
2039,69.08591626890859,67.73789617052861,83.68704078865204,68.57053302314266,66.32689942378306,83.68666053144828,68.76222875008195,67.16815550066663,83.68665672257384,61.74651674661131,60.35307767611353,74.73686731882644,63.658037904449806,62.81877256417506,77.6036580933549,63.09446050000566,62.30928955345851,76.72956563637611,0.8896815142319856,0.8866595762853872,0.8896815142319856,0.9225656624848245,0.9408944935855419,0.9225656624848246,0.913609899253902,0.9234501263645243,0.913609899253902
2040,66.77143639312447,65.3467316713222,83.6477327939912,66.19031455782016,63.804850811954026,83.64732226821505,66.40743484381217,64.72201543800799,83.64731875804398,58.833377269121705,57.36037875006336,73.6338130612559,60.879845456378376,60.16634897407089,76.83280374493123,60.341602005530156,59.590590443942396,75.93726933425846,0.876995487669562,0.8734169237862582,0.8769954876695623,0.9138426558094256,0.9365946696584058,0.9138426558094256,0.9046271660712164,0.9164255060327411,0.9046271660712166
2041,64.12879427091065,62.61177453570087,83.61690845872923,63.493386205715794,62.30396445899459,83.61648965594804,63.73071839658935,62.067348711753915,83.61648624299046,55.72641370067018,54.16702227027043,72.57885079847807,57.85993743304993,58.4911877652406,76.0737537674119,57.352596020758014,56.724798992170015,75.16551421479876,0.8647546363589041,0.8606390348810118,0.8647546363589041,0.9051196491340274,0.9322948457312704,0.9051196491340276,0.8957621516870168,0.909492919537134,0.8957621516870168
