Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - material resources: metals/minerals [kg Sb-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - material resources: metals/minerals [kg Sb-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - eutrophication: terrestrial [mol N-eq]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - eutrophication: terrestrial [mol N-eq]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - particulate matter formation [disease incidence]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - particulate matter formation [disease incidence]","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","optimistic AC technology with low growth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - ecotoxicity: freshwater [CTUe]","business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC - ecotoxicity: freshwater [CTUe]"
2024,123196.40083848451,122339.72689722927,122339.72689722927,123196.40083848451,122339.72689722927,122339.72689722927,123196.40083848451,122339.72689722927,122339.72689722927,2903917282.1798663,2902951790.507661,2902951790.507661,2903917282.1798663,2902951790.507661,2902951790.507661,2903917282.1798663,2902951790.507661,2902951790.507661,1417.8031859288283,1413.584066119597,1413.584066119597,1417.8031859288283,1413.584066119597,1413.584066119597,1417.8031859288283,1413.584066119597,1413.584066119597,867867149601.0554,867533129195.6444,867533129195.6444,867867149601.0554,867533129195.6444,867533129195.6444,867867149601.0554,867533129195.6444,867533129195.6444
2025,287554.7191069037,362638.72108881874,362638.72108881874,142535.94408319492,213089.89037189118,213089.89037189118,58315.94663942146,126184.24119303291,126184.24119303291,3108078974.6549544,3178199318.886093,3178199318.886093,2906661162.4194484,2972546877.0894523,2972546877.0894523,2789654276.347051,2853038360.2132215,2853038360.2132215,1573.170490166975,1916.3912505839467,1916.3912505839467,1410.6365399558129,1733.1651525016682,1733.1651525016682,1316.453585743388,1626.6890073923155,1626.6890073923155,937260546948.2085,946267969493.9222,946267969493.9222,870168199678.4973,878635098630.4701,878635098630.4701,831192257376.3793,839332360387.4426,839332360387.4426
2026,234664.8912408304,301900.5256910323,301900.5256910323,154402.61605148195,214295.45543719752,214295.45543719752,57726.10566992579,111045.20036445909,111045.20036445909,3218851814.581674,3282372912.205044,3282372912.205044,2924556356.989414,2981400460.6977234,2981400460.6977234,2684155591.8762383,2735131499.877776,2735131499.877776,1594.2765814770505,1863.7193800666548,1863.7193800666548,1420.4849608962477,1659.336132723033,1659.336132723033,1264.1611495350837,1475.135256371421,1475.135256371421,968182636989.2937,969583638821.5485,969583638821.5485,876475571918.3785,877441253344.5211,877441253344.5211,800062356714.1187,800521146698.3995,800521146698.3995
2027,214457.71703428577,300103.74781366426,300103.74781366426,132943.69704536878,206637.2268736408,206637.2268736408,57092.980583794255,120512.98313267213,120512.98313267213,3304534472.2735705,3377374498.0768795,3377374498.0768795,2910358111.612535,2973258012.390822,2973258012.390822,2578738945.7840176,2633121207.5041313,2633121207.5041313,1619.4669671649606,1933.1853463448322,1933.1853463448322,1399.967214432741,1667.7412736745498,1667.7412736745498,1212.1282501095086,1440.1681175709698,1440.1681175709698,993203664610.4353,992278012293.2412,992278012293.2412,871599018868.5509,870351100721.0135,870351100721.0135,768941462499.3433,767367827707.082,767367827707.082
2028,227468.48248898747,334712.6123276255,334712.6123276255,144648.83293866238,234190.90114129908,234190.90114129908,56416.57138102576,129661.90564552345,129661.90564552345,3407905246.235927,3488219543.4184356,3488219543.4184356,2913918076.2474723,2981055633.7365394,2981055633.7365394,2473404338.0703893,2528429715.01204,2528429715.01204,1667.9838495859344,2027.0919170172995,2027.0919170172995,1402.966143849167,1699.5876610938424,1699.5876610938424,1160.3548874666633,1398.747653051382,1398.747653051382,1025117532624.8815,1021276662972.8915,1021276662972.8915,873621207444.6464,869815065643.5067,869815065643.5067,737829574732.0524,733926067703.4601,733926067703.4601
2029,207141.12233705944,335870.13218987157,335870.13218987157,134177.1965817693,239195.20753514313,239195.20753514313,55696.87806162168,138393.4905587318,138393.4905587318,3479228679.140401,3562481119.9476733,3562481119.9476733,2900928317.909985,2968719467.9814568,2968719467.9814568,2368151768.7353525,2421364102.272573,2421364102.272573,1686.5315861603372,2077.54559303034,2077.54559303034,1388.3728571642926,1703.3669712441001,1703.3669712441001,1108.841061606547,1351.4758346014944,1351.4758346014944,1045868404967.5607,1038062499173.5027,1038062499173.5027,869632921056.0018,862583749770.7076,862583749770.7076,706726693412.2467,700256686620.5365,700256686620.5365
2030,220062.72089794674,374143.9191716054,374143.9191716054,123516.16365971148,243990.88918110685,243990.88918110685,54933.90062558089,146610.6620494528,146610.6620494528,3568145463.5277734,3652394431.5474434,3652394431.5474434,2873693434.201551,2939036370.183916,2939036370.183916,2262981237.778909,2312227598.9592094,2312227598.9592094,1727.840982073995,2153.395557099321,2153.395557099321,1367.3663540756027,1693.00631200806,1693.00631200806,1057.58677252916,1298.9472812823212,1298.9472812823212,1073485086429.1764,1061152463655.8997,1061152463655.8997,861378729226.3755,850603354486.3633,850603354486.3633,675632818539.9255,666419770184.3011,666419770184.3011
2031,210480.88876449142,489151.1507625525,489151.1507625525,134803.02981401418,350964.2267444945,350964.2267444945,53949.30195062798,212759.1547420625,212759.1547420625,3641555420.7141643,3791199993.3541064,3791199993.3541064,2863751989.101183,2979374301.2502885,2979374301.2502885,2158464989.319388,2242765919.969164,2242765919.969164,1753.6734530199617,2579.675402311717,2579.675402311717,1365.0901596006843,2000.5780994464435,2000.5780994464435,1007.6234105077584,1467.1016249301706,1467.1016249301706,1095263698634.797,1085335954140.5833,1085335954140.5833,859241613962.4009,850767417927.3578,850767417927.3578,644633910411.1564,637307469033.3174,637307469033.3174
2032,193158.21140055035,544136.4827041088,544136.4827041088,138612.59084619072,407388.8946758828,407388.8946758828,52938.16437033578,239757.79497132456,239757.79497132456,3690293066.855971,3863283419.5660954,3863283419.5660954,2857570746.3495393,2989486447.3315935,2989486447.3315935,2053977432.2192254,2144413611.77463,2144413611.77463,1764.9630663854034,2729.266512724863,2729.266512724863,1361.2592881860742,2094.0494800480037,2094.0494800480037,957.8256774804133,1454.5415070340025,1454.5415070340025,1109303867277.7854,1088531035487.1177,1088531035487.1177,857867190700.4723,841164831755.1082,841164831755.1082,613636144163.5507,600201059069.9954,600201059069.9954
2033,195639.04634741138,624552.0488270829,624552.0488270829,139042.66760906624,461764.5029844988,461764.5029844988,51900.4878847052,264063.1827198479,264063.1827198479,3742648323.441651,3936320919.897543,3936320919.897543,2851188439.6499596,2996008862.760088,2996008862.760088,1949518566.4784207,2042724804.0664606,2042724804.0664606,1786.332311718937,2890.091130019411,2890.091130019411,1355.8979210255561,2178.154282031523,2178.154282031523,908.193573447125,1430.5578397852123,1430.5578397852123,1125380064447.9634,1093073890660.411,1093073890660.411,856269812457.6907,830835164231.8202,830835164231.8202,582639519797.1082,563376873162.1259,563376873162.1259
